17,11,132,11,132,36,17,36,text
142,11,243,11,243,25,142,25,text
253,11,357,11,357,31,253,31,text
367,11,397,11,397,21,367,21,text
407,11,509,11,509,36,407,36,text
519,11,608,11,608,38,519,38,text
618,11,722,11,722,33,618,33,text
732,11,879,11,879,40,732,40,text
21,50,63,50,63,69,21,69,text
73,50,189,50,189,72,73,72,text
199,50,300,50,300,70,199,70,text
310,50,404,50,404,67,310,67,text
414,50,478,50,478,62,414,62,text
488,50,622,50,622,76,488,76,text
632,50,731,50,731,68,632,68,text
741,50,864,50,864,78,741,78,text
874,50,960,50,960,69,874,69,text
8,88,40,88,40,99,8,99,text
50,88,109,88,109,99,50,99,text
119,88,186,88,186,104,119,104,text
196,88,310,88,310,104,196,104,text
320,88,384,88,384,101,320,101,text
394,88,468,88,468,105,394,105,text
478,88,513,88,513,98,478,98,text
523,88,701,88,701,103,523,103,text
711,88,802,88,802,103,711,103,text
812,88,910,88,910,107,812,107,text
