6,14,94,14,94,29,6,29,text
104,14,178,14,178,30,104,30,text
188,14,244,14,244,29,188,29,text
254,14,368,14,368,35,254,35,text
378,14,482,14,482,33,378,33,text
492,14,602,14,602,34,492,34,text
612,14,702,14,702,33,612,33,text
712,14,748,14,748,24,712,24,text
758,14,828,14,828,28,758,28,text
838,14,903,14,903,27,838,27,text
913,14,962,14,962,37,913,37,text
21,47,145,47,145,69,21,69,text
155,47,222,47,222,69,155,69,text
232,47,294,47,294,60,232,60,text
304,47,405,47,405,73,304,73,text
415,47,479,47,479,66,415,66,text
489,47,566,47,566,58,489,58,text
576,47,632,47,632,59,576,59,text
642,47,758,47,758,67,642,67,text
768,47,853,47,853,68,768,68,text
863,47,934,47,934,66,863,66,text
24,83,137,83,137,104,24,104,text
147,83,246,83,246,108,147,108,text
256,83,289,83,289,97,256,97,text
299,83,353,83,353,92,299,92,text
363,83,499,83,499,111,363,111,text
509,83,550,83,550,94,509,94,text
560,83,637,83,637,104,560,104,text
647,83,758,83,758,104,647,104,text
768,83,853,83,853,101,768,101,text
863,83,947,83,947,103,863,103,text
7,121,71,121,71,134,7,134,text
81,121,184,121,184,142,81,142,text
194,121,275,121,275,139,194,139,text
285,121,307,121,307,131,285,131,text
317,121,362,121,362,138,317,138,text
372,121,493,121,493,143,372,143,text
503,121,614,121,614,150,503,150,text
624,121,679,121,679,132,624,132,text
689,121,807,121,807,147,689,147,text
817,121,909,121,909,138,817,138,text
21,160,71,160,71,180,21,180,text
81,160,195,160,195,183,81,183,text
205,160,267,160,267,173,205,173,text
277,160,361,160,361,177,277,177,text
371,160,443,160,443,172,371,172,text
453,160,496,160,496,171,453,171,text
506,160,590,160,590,176,506,176,text
600,160,719,160,719,186,600,186,text
729,160,860,160,860,180,729,180,text
870,160,961,160,961,179,870,179,text
16,196,121,196,121,216,16,216,text
131,196,218,196,218,221,131,221,text
228,196,298,196,298,219,228,219,text
308,196,343,196,343,207,308,207,text
353,196,485,196,485,220,353,220,text
495,196,589,196,589,216,495,216,text
599,196,645,196,645,207,599,207,text
655,196,767,196,767,219,655,219,text
777,196,882,196,882,219,777,219,text
6,232,57,232,57,250,6,250,text
67,232,105,232,105,246,67,246,text
115,232,209,232,209,253,115,253,text
219,232,284,232,284,245,219,245,text
294,232,348,232,348,250,294,250,text
358,232,434,232,434,245,358,245,text
444,232,536,232,536,250,444,250,text
546,232,615,232,615,246,546,246,text
625,232,696,232,696,248,625,248,text
706,232,808,232,808,251,706,251,text
818,232,959,232,959,259,818,259,text
24,269,81,269,81,293,24,293,text
91,269,207,269,207,286,91,286,text
217,269,337,269,337,288,217,288,text
347,269,449,269,449,288,347,288,text
459,269,564,269,564,286,459,286,text
574,269,696,269,696,293,574,293,text
706,269,808,269,808,293,706,293,text
818,269,910,269,910,295,818,295,text
8,306,103,306,103,325,8,325,text
113,306,205,306,205,323,113,323,text
215,306,322,306,322,327,215,327,text
332,306,409,306,409,332,332,332,text
419,306,535,306,535,332,419,332,text
545,306,668,306,668,326,545,326,text
678,306,746,306,746,318,678,318,text
756,306,804,306,804,322,756,322,text
814,306,871,306,871,323,814,323,text
10,342,52,342,52,356,10,356,text
62,342,120,342,120,355,62,355,text
130,342,181,342,181,357,130,357,text
191,342,296,342,296,362,191,362,text
306,342,452,342,452,368,306,368,text
462,342,505,342,505,357,462,357,text
515,342,571,342,571,360,515,360,text
581,342,674,342,674,359,581,359,text
684,342,823,342,823,363,684,363,text
833,342,935,342,935,363,833,363,text
8,379,64,379,64,391,8,391,text
74,379,150,379,150,393,74,393,text
160,379,218,379,218,390,160,390,text
228,379,279,379,279,392,228,392,text
289,379,366,379,366,392,289,392,text
376,379,497,379,497,398,376,398,text
507,379,606,379,606,398,507,398,text
616,379,671,379,671,397,616,397,text
681,379,797,379,797,400,681,400,text
807,379,925,379,925,403,807,403,text
23,413,71,413,71,431,23,431,text
81,413,224,413,224,438,81,438,text
234,413,312,413,312,438,234,438,text
322,413,416,413,416,430,322,430,text
426,413,522,413,522,434,426,434,text
532,413,606,413,606,431,532,431,text
616,413,708,413,708,432,616,432,text
718,413,777,413,777,427,718,427,text
787,413,883,413,883,432,787,432,text
893,413,931,413,931,425,893,425,text
21,448,91,448,91,462,21,462,text
101,448,205,448,205,469,101,469,text
215,448,321,448,321,468,215,468,text
331,448,378,448,378,467,331,467,text
388,448,442,448,442,458,388,458,text
452,448,529,448,529,465,452,465,text
539,448,599,448,599,461,539,461,text
609,448,680,448,680,462,609,462,text
690,448,757,448,757,475,690,475,text
767,448,872,448,872,469,767,469,text
21,485,100,485,100,511,21,511,text
110,485,218,485,218,504,110,504,text
228,485,293,485,293,496,228,496,text
303,485,328,485,328,497,303,497,text
338,485,414,485,414,501,338,501,text
424,485,521,485,521,506,424,506,text
531,485,598,485,598,498,531,498,text
608,485,676,485,676,503,608,503,text
686,485,727,485,727,499,686,499,text
737,485,793,485,793,497,737,497,text
803,485,901,485,901,505,803,505,text
13,521,94,521,94,538,13,538,text
104,521,214,521,214,550,104,550,text
224,521,262,521,262,531,224,531,text
272,521,305,521,305,547,272,547,text
315,521,395,521,395,534,315,534,text
405,521,470,521,470,543,405,543,text
480,521,606,521,606,552,480,552,text
616,521,661,521,661,532,616,532,text
671,521,747,521,747,536,671,536,text
757,521,826,521,826,533,757,533,text
836,521,920,521,920,541,836,541,text
19,562,159,562,159,588,19,588,text
169,562,266,562,266,584,169,584,text
276,562,420,562,420,588,276,588,text
430,562,492,562,492,587,430,587,text
502,562,575,562,575,586,502,586,text
585,562,709,562,709,583,585,583,text
719,562,868,562,868,585,719,585,text
878,562,951,562,951,576,878,576,text
22,598,117,598,117,615,22,615,text
127,598,228,598,228,619,127,619,text
238,598,307,598,307,611,238,611,text
317,598,442,598,442,617,317,617,text
452,598,537,598,537,617,452,617,text
547,598,664,598,664,626,547,626,text
674,598,776,598,776,623,674,623,text
786,598,818,598,818,609,786,609,text
828,598,924,598,924,619,828,619,text
9,636,77,636,77,662,9,662,text
87,636,175,636,175,651,87,651,text
185,636,230,636,230,651,185,651,text
240,636,365,636,365,662,240,662,text
375,636,450,636,450,649,375,649,text
460,636,549,636,549,657,460,657,text
559,636,669,636,669,657,559,657,text
679,636,754,636,754,652,679,652,text
764,636,870,636,870,655,764,655,text
880,636,947,636,947,653,880,653,text
12,672,126,672,126,696,12,696,text
136,672,216,672,216,697,136,697,text
226,672,287,672,287,691,226,691,text
297,672,372,672,372,684,297,684,text
382,672,506,672,506,700,382,700,text
516,672,614,672,614,691,516,691,text
624,672,696,672,696,687,624,687,text
706,672,820,672,820,694,706,694,text
830,672,939,672,939,695,830,695,text
16,712,74,712,74,734,16,734,text
84,712,188,712,188,733,84,733,text
198,712,254,712,254,725,198,725,text
264,712,301,712,301,726,264,726,text
311,712,364,712,364,728,311,728,text
374,712,446,712,446,724,374,724,text
456,712,523,712,523,728,456,728,text
533,712,655,712,655,736,533,736,text
665,712,827,712,827,737,665,737,text
837,712,893,712,893,723,837,723,text
903,712,927,712,927,728,903,728,text
